Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:06:47.031,0.400092,0.589694,0.651894,1494.201131,-1.392803,-1.240106,-1.093597,24.852183,2.001,5088.188,84.80313333333334
2021-12-07 12:06:49.030,0.398742,0.589332,0.650943,1495.87253,-1.385387,-1.24109,-1.096025,24.858156,1.999,5090.187,84.83645
2021-12-07 12:06:51.028,0.400013,0.590413,0.65313,1495.877406,-1.410594,-1.237237,-1.09285,24.852288,1.998,5092.185,84.86975000000001
2021-12-07 12:06:53.029,0.40043,0.590997,0.652919,1497.454349,-1.39989,-1.226587,-1.08769,24.865704,2.001,5094.186,84.9031
2021-12-07 12:06:55.028,0.399173,0.589603,0.6516,1496.841424,-1.396872,-1.246472,-1.092744,24.859862,1.999,5096.185,84.93641666666667
2021-12-07 12:06:57.029,0.398225,0.588004,0.649864,1494.469875,-1.390112,-1.234922,-1.093203,24.863735,2.001,5098.186,84.96976666666666
2021-12-07 12:06:59.029,0.400155,0.591012,0.652395,1494.89185,-1.395625,-1.236103,-1.096222,24.862356,2.0,5100.186,85.00309999999999
2021-12-07 12:07:01.029,0.399792,0.590852,0.652138,1496.905074,-1.388012,-1.236234,-1.092547,24.856383,2.0,5102.186,85.03643333333333
2021-12-07 12:07:03.029,0.399194,0.590374,0.651715,1496.122415,-1.373772,-1.236103,-1.097863,24.85658,2.0,5104.186,85.06976666666667
2021-12-07 12:07:05.029,0.398519,0.588938,0.650484,1493.774441,-1.412031,-1.231378,-1.092284,24.857499,2.0,5106.186,85.1031
2021-12-07 12:07:07.029,0.399635,0.59043,0.648564,1495.042724,-1.38985,-1.223634,-1.097732,24.84877,2.0,5108.186,85.13643333333333
2021-12-07 12:07:09.029,0.398766,0.5897,0.646203,1496.299221,-1.399103,-1.240959,-1.095106,24.846341,2.0,5110.186,85.16976666666666
2021-12-07 12:07:11.029,0.398511,0.588382,0.649451,1492.935205,-1.380859,-1.244569,-1.094778,24.839712,2.0,5112.186,85.20309999999999
2021-12-07 12:07:13.029,0.399706,0.589891,0.652083,1493.682502,-1.381056,-1.233806,-1.093531,24.842337,2.0,5114.186,85.23643333333332
2021-12-07 12:07:15.029,0.398939,0.589395,0.65127,1494.889493,-1.404156,-1.227965,-1.095041,24.836692,2.0,5116.186,85.26976666666665
2021-12-07 12:07:17.027,0.399262,0.589709,0.650509,1494.916982,-1.380705,-1.241967,-1.094229,24.843878,1.998,5118.184,85.30306666666667
2021-12-07 12:07:19.027,0.399191,0.589857,0.650916,1494.559456,-1.39044,-1.24365,-1.096353,24.836233,2.0,5120.184,85.3364
2021-12-07 12:07:21.028,0.398589,0.588862,0.650845,1494.341593,-1.390782,-1.226907,-1.098276,24.827816,2.001,5122.185,85.36975000000001
2021-12-07 12:07:23.026,0.398613,0.588828,0.650932,1494.744719,-1.402185,-1.230208,-1.093835,24.823116,1.998,5124.183,85.40305
2021-12-07 12:07:25.027,0.399493,0.590172,0.651003,1493.460906,-1.380006,-1.249294,-1.10121,24.832163,2.001,5126.184,85.4364
2021-12-07 12:07:27.026,0.399548,0.589881,0.650989,1494.585388,-1.385322,-1.244175,-1.098257,24.825206,1.999,5128.183,85.46971666666667
2021-12-07 12:07:29.027,0.398068,0.588314,0.649951,1494.264781,-1.401597,-1.242928,-1.096747,24.826059,2.001,5130.184,85.50306666666667
2021-12-07 12:07:31.026,0.400501,0.591212,0.652891,1493.666,-1.402122,-1.251722,-1.100029,24.818511,1.999,5132.183,85.53638333333333
2021-12-07 12:07:33.027,0.399228,0.590251,0.651554,1496.360513,-1.395165,-1.25625,-1.093663,24.828882,2.001,5134.184,85.56973333333333
2021-12-07 12:07:35.026,0.398774,0.589571,0.651435,1494.896565,-1.408421,-1.240237,-1.098388,24.830982,1.999,5136.183,85.60305
2021-12-07 12:07:37.027,0.398519,0.589747,0.651499,1495.096945,-1.41715,-1.240565,-1.091497,24.836233,2.001,5138.184,85.63640000000001
2021-12-07 12:07:39.026,0.398643,0.589314,0.650916,1495.660364,-1.388865,-1.244372,-1.099307,24.836036,1.999,5140.183,85.66971666666667
2021-12-07 12:07:41.027,0.399903,0.59064,0.652184,1495.426981,-1.400743,-1.247981,-1.096025,24.844438,2.001,5142.184,85.70306666666667
2021-12-07 12:07:43.026,0.398653,0.589201,0.650355,1496.270932,-1.392475,-1.248113,-1.094122,24.850345,1.999,5144.183,85.73638333333334
2021-12-07 12:07:45.026,0.398635,0.588706,0.650053,1492.535213,-1.389679,-1.236407,-1.090531,24.850331,2.0,5146.183,85.76971666666667
2021-12-07 12:07:47.026,0.398732,0.588726,0.650172,1494.863562,-1.389325,-1.243125,-1.098191,24.862619,2.0,5148.183,85.80305
2021-12-07 12:07:49.026,0.400325,0.591784,0.652758,1496.313365,-1.387356,-1.246603,-1.097863,24.862488,2.0,5150.183,85.83638333333333
2021-12-07 12:07:51.025,0.400016,0.590306,0.652459,1496.407661,-1.4035,-1.241287,-1.099635,24.870233,1.999,5152.182,85.8697
2021-12-07 12:07:53.026,0.399737,0.590941,0.652955,1495.81831,-1.391556,-1.244109,-1.098125,24.885198,2.001,5154.183,85.90305
2021-12-07 12:07:55.025,0.399603,0.591175,0.651775,1497.97062,-1.405928,-1.246078,-1.102654,24.903576,1.999,5156.182,85.93636666666666
2021-12-07 12:07:57.026,0.400436,0.591532,0.65279,1496.55382,-1.378562,-1.244044,-1.096485,24.905414,2.001,5158.183,85.96971666666667
2021-12-07 12:07:59.025,0.398824,0.589786,0.651173,1497.918757,-1.402581,-1.232821,-1.093269,24.914012,1.999,5160.182,86.00303333333333
2021-12-07 12:08:01.026,0.399039,0.589219,0.650516,1494.297785,-1.39044,-1.235906,-1.094253,24.921692,2.001,5162.183,86.03638333333333
2021-12-07 12:08:03.024,0.399853,0.590641,0.651824,1495.556478,-1.374464,-1.249259,-1.099157,24.933562,1.998,5164.181,86.06968333333333
2021-12-07 12:08:05.026,0.399619,0.590441,0.651781,1495.486147,-1.410712,-1.242052,-1.095982,24.937844,2.002,5166.183,86.10305
2021-12-07 12:08:07.024,0.39943,0.58973,0.65084,1495.582435,-1.390295,-1.239536,-1.102836,24.943417,1.998,5168.181,86.13635
2021-12-07 12:08:09.023,0.399005,0.58924,0.65053,1494.71033,-1.384009,-1.245553,-1.090381,24.946568,1.999,5170.18,86.16966666666667
2021-12-07 12:08:11.024,0.399958,0.590637,0.651982,1495.120519,-1.417346,-1.240762,-1.087296,24.958383,2.001,5172.181,86.20301666666666
2021-12-07 12:08:13.023,0.40116,0.592291,0.653378,1498.048415,-1.38775,-1.235643,-1.090447,24.959892,1.999,5174.18,86.23633333333333
2021-12-07 12:08:15.024,0.400071,0.590794,0.65245,1496.827279,-1.404484,-1.223896,-1.077517,24.962977,2.001,5176.181,86.26968333333333
