Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:42:30.823,0.185756,0.002443,0.025997,397.350482,21.6834,-1.093036,0.042405,0.40088,2.0
2021-08-21 11:42:32.823,0.185824,0.002561,0.026112,398.100137,21.690422,-1.093364,0.046868,0.405212,2.0
2021-08-21 11:42:34.823,0.185359,0.002328,0.025961,397.96105,21.688453,-1.080435,0.023503,0.406656,2.0
2021-08-21 11:42:36.823,0.18585,0.002409,0.025984,397.47071,21.686156,-1.095595,0.027441,0.409872,2.0
2021-08-21 11:42:38.821,0.185807,0.002419,0.026119,397.695192,21.684636,-1.09291,0.052173,0.408178,1.998
2021-08-21 11:42:40.823,0.185448,0.002473,0.025963,397.701201,21.691542,-1.095653,0.028002,0.4113,2.002
2021-08-21 11:42:42.821,0.185705,0.002432,0.026211,397.008501,21.690416,-1.094289,0.049217,0.408376,1.998
2021-08-21 11:42:44.823,0.185773,0.002502,0.026138,397.503377,21.687477,-1.090801,0.032722,0.410973,2.002
2021-08-21 11:44:18.506,0.188535,0.002341,0.025659,398.139502,21.67191,-1.196057,0.076363,0.449674,93.683
2021-08-21 11:44:20.505,0.188361,0.002359,0.025925,398.100604,21.677386,-1.217037,0.088261,0.451415,1.999
2021-08-21 11:44:22.505,0.187943,0.002417,0.025345,397.27976,21.676575,-1.20178,0.095107,0.451486,2.0
2021-08-21 11:44:24.505,0.187998,0.00242,0.026048,397.71588,21.677166,-1.192592,0.06472,0.450895,2.0
2021-08-21 11:44:26.505,0.188743,0.00247,0.025924,397.605082,21.672769,-1.190886,0.085721,0.450567,2.0
2021-08-21 11:44:28.503,0.188766,0.002505,0.025967,397.440338,21.677869,-1.20058,0.098489,0.453447,1.998
2021-08-21 11:44:30.503,0.188565,0.002498,0.025717,396.358015,21.674934,-1.204733,0.08815,0.449976,2.0
2021-08-21 11:44:32.503,0.188221,0.002493,0.025552,395.542353,21.671259,-1.197186,0.080274,0.453324,2.0
2021-08-21 11:44:34.503,0.191429,0.00259,0.026365,396.841283,21.677297,-1.21274,0.083752,0.454637,2.0
2021-08-21 11:44:36.503,0.191991,0.002414,0.026172,402.225594,21.677362,-1.202042,0.078043,0.454899,2.0
2021-08-21 11:44:38.503,0.192106,0.002546,0.026268,402.843234,21.671719,-1.222387,0.098979,0.453127,2.0
2021-08-21 11:44:40.503,0.192755,0.002514,0.026567,403.194487,21.6771,-1.212215,0.086903,0.460281,2.0
2021-08-21 11:44:42.503,0.192332,0.002551,0.026259,403.661253,21.674344,-1.208671,0.082112,0.457721,2.0
2021-08-21 11:44:44.503,0.191691,0.002548,0.026255,402.435403,21.671916,-1.222452,0.098388,0.459691,2.0
2021-08-21 11:44:46.502,0.192174,0.002755,0.026495,402.834281,21.67082,-1.220583,0.096534,0.458048,1.999
2021-08-21 11:44:48.502,0.191605,0.002682,0.026204,403.121408,21.675131,-1.214052,0.086181,0.460872,2.0
2021-08-21 11:44:50.502,0.193015,0.00264,0.026778,403.291141,21.673884,-1.213658,0.086968,0.461857,2.0
2021-08-21 11:44:52.503,0.192453,0.002596,0.026382,403.658008,21.672354,-1.232454,0.10247,0.464284,2.001
2021-08-21 11:44:54.502,0.192539,0.00265,0.026426,402.798902,21.670164,-1.234831,0.098504,0.463761,1.999
2021-08-21 11:44:56.502,0.192783,0.002551,0.026291,403.185058,21.673228,-1.218712,0.07883,0.4612,2.0
2021-08-21 11:44:58.502,0.19256,0.002554,0.026517,403.326502,21.668503,-1.226849,0.084212,0.467239,2.0
2021-08-21 11:45:00.502,0.193319,0.002614,0.026434,403.550455,21.672506,-1.248769,0.11263,0.465467,2.0
2021-08-21 11:45:02.502,0.192563,0.002585,0.026558,404.729157,21.671456,-1.230525,0.094844,0.461725,2.0
2021-08-21 11:45:04.502,0.191975,0.002701,0.02636,402.180804,21.667913,-1.224552,0.092416,0.46737,2.0
2021-08-21 11:45:06.502,0.192374,0.002593,0.026282,402.748938,21.667453,-1.252838,0.100291,0.465401,2.0
2021-08-21 11:45:08.502,0.192269,0.002554,0.026016,402.897454,21.667781,-1.258941,0.11112,0.465401,2.0
2021-08-21 11:45:10.500,0.192103,0.002684,0.026114,403.276034,21.671563,-1.24801,0.101971,0.471384,1.998
2021-08-21 11:45:12.500,0.192125,0.002698,0.026406,403.133195,21.666469,-1.258547,0.109152,0.464482,2.0
2021-08-21 11:45:14.502,0.192222,0.002552,0.026418,402.67742,21.670235,-1.256606,0.09737,0.473986,2.002
2021-08-21 11:45:16.500,0.192258,0.002637,0.026133,402.839477,21.669855,-1.26174,0.101182,0.474538,1.998
2021-08-21 11:45:18.500,0.192663,0.002756,0.026613,402.374111,21.667519,-1.258088,0.104032,0.474984,2.0
2021-08-21 11:45:20.500,0.191807,0.002785,0.026388,402.942245,21.66555,-1.262091,0.108692,0.475115,2.0
2021-08-21 11:45:22.500,0.192644,0.002661,0.026866,401.970995,21.669684,-1.266029,0.106658,0.476034,2.0
2021-08-21 11:45:24.500,0.192886,0.002669,0.026585,403.194487,21.664697,-1.267079,0.116043,0.473146,2.0
2021-08-21 11:45:26.500,0.192258,0.002664,0.026765,404.448626,21.670275,-1.278892,0.12195,0.476231,2.0
2021-08-21 11:45:28.500,0.192167,0.002609,0.026553,402.779584,21.661744,-1.26091,0.103245,0.47505,2.0
2021-08-21 11:45:30.500,0.193534,0.00263,0.026838,404.111518,21.657741,-1.27246,0.109611,0.475772,2.0
2021-08-21 11:45:32.500,0.192558,0.002577,0.026599,404.040795,21.66345,-1.292542,0.11939,0.477938,2.0
2021-08-21 11:45:34.500,0.192006,0.002617,0.026328,402.640497,21.663122,-1.297792,0.123918,0.4803,2.0
2021-08-21 11:45:36.498,0.192553,0.002621,0.026629,403.073094,21.662104,-1.268769,0.114387,0.4794,1.998
2021-08-21 11:45:38.500,0.192238,0.002675,0.026597,403.106039,21.664007,-1.284405,0.106221,0.483888,2.002
2021-08-21 11:45:40.500,0.19235,0.002659,0.026746,403.027112,21.659316,-1.290967,0.125231,0.480235,2.0
2021-08-21 11:45:42.498,0.192082,0.002445,0.026321,403.337388,21.659805,-1.287492,0.112219,0.481831,1.998
2021-08-21 11:45:44.498,0.19224,0.002714,0.026397,401.935634,21.658397,-1.273445,0.103901,0.480629,2.0
2021-08-21 11:45:46.498,0.193064,0.002769,0.026512,403.225134,21.6624,-1.279876,0.126675,0.483188,2.0
2021-08-21 11:45:48.498,0.192933,0.002661,0.026512,403.793268,21.655116,-1.284798,0.117684,0.48181,2.0
