Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:20,322;386,794027;0,109402;0,119911;0,172006;-0,028542;-2,61145;0,001691;24,090338
19:01:20,332;386,794027;0,112028;0,120961;0,16925;-0,343569;-2,742699;-0,378947;24,090338
19:01:20,342;384,436622;0,112553;0,124636;0,164656;-0,081046;-2,480201;-0,011435;24,090338
19:01:20,352;385,379584;0,108877;0,120961;0,168331;-0,291065;-2,847698;-0,365821;24,116592
19:01:20,362;385,851065;0,114653;0,120961;0,174762;-0,054794;-2,493326;0,041067;24,090338
19:01:20,372;385,851065;0,110977;0,124636;0,165575;-0,356695;-2,742699;-0,352696;24,024701
19:01:20,382;386,322546;0,111503;0,118336;0,165575;-0,041668;-2,55895;0,054193;24,07721
19:01:20,392;384,436622;0,105727;0,121486;0,170169;-0,369821;-2,873948;-0,431448;24,090338
19:01:20,402;385,379584;0,106252;0,121486;0,170169;0,023963;-2,519576;0,067318;24,103465
19:01:20,412;385,379584;0,112553;0,126736;0,164656;-0,356695;-2,742699;-0,33957;24,090338
19:01:20,422;384,908103;0,118853;0,129887;0,166494;-0,015416;-2,388327;0,146071;24,064083
19:01:20,432;383,493661;0,107827;0,119386;0,172006;-0,356695;-2,834573;-0,326445;24,116592
19:01:20,442;387,736988;0,109402;0,119386;0,167413;-0,041668;-2,467076;-0,063936;24,050956
19:01:20,452;386,322546;0,106252;0,124111;0,170169;-0,382948;-2,703324;-0,33957;24,090338
19:01:20,462;387,736988;0,112028;0,124636;0,168331;0,010837;-2,519576;-0,037685;24,116592
19:01:20,472;384,908103;0,107302;0,121486;0,167413;-0,330443;-2,873948;-0,300194;24,07721
19:01:20,482;386,322546;0,109402;0,125161;0,16925;-0,028542;-2,55895;-0,063936;24,116592
19:01:20,492;387,265507;0,103627;0,118336;0,163738;-0,343569;-2,768949;-0,365821;24,090338
19:01:20,502;387,736988;0,107827;0,119386;0,172006;-0,041668;-2,335827;0,014816;24,12972
19:01:20,512;388,208469;0,110977;0,116761;0,167413;-0,343569;-2,913323;-0,392072;24,116592
19:01:20,522;387,265507;0,106777;0,116761;0,16925;-0,054794;-2,414576;0,027942;24,12972
19:01:20,532;387,265507;0,107827;0,119911;0,16925;-0,369821;-2,795199;-0,392072;24,090338
19:01:20,542;386,794027;0,116753;0,127787;0,171087;-0,054794;-2,467076;0,041067;24,064083
19:01:20,552;385,851065;0,113603;0,126736;0,170169;-0,382948;-2,834573;-0,418323;24,050956
19:01:20,562;386,322546;0,109927;0,127261;0,165575;-0,041668;-2,480201;-0,011435;24,116592
19:01:20,572;385,851065;0,104677;0,123586;0,170169;-0,356695;-2,834573;-0,392072;24,116592
19:01:20,582;391,037354;0,105727;0,122536;0,165575;0,023963;-2,532701;-0,090187;24,103465
19:01:20,592;386,322546;0,106777;0,118861;0,171087;-0,422326;-2,847698;-0,378947;24,103465
19:01:20,602;390,094392;0,108877;0,124636;0,168331;-0,028542;-2,427701;-0,02456;24,090338
19:01:20,612;387,736988;0,109402;0,124636;0,170169;-0,343569;-2,768949;-0,31332;24,07721
19:01:20,622;389,151431;0,106777;0,126211;0,16925;-0,054794;-2,545825;-0,090187;24,103465
19:01:20,632;386,794027;0,106777;0,120961;0,167413;-0,343569;-2,952697;-0,365821;24,116592
19:01:20,642;385,851065;0,112028;0,125686;0,171087;-0,06792;-2,453951;-0,037685;24,037828
19:01:20,652;387,265507;0,111503;0,127787;0,168331;-0,317317;-2,716449;-0,378947;24,064083
19:01:20,662;387,265507;0,113078;0,118861;0,170169;-0,028542;-2,572075;-0,063936;24,090338
19:01:20,672;388,208469;0,109402;0,120436;0,164656;-0,317317;-2,887073;-0,431448;24,169102
19:01:20,682;387,265507;0,114128;0,130412;0,172006;-0,081046;-2,453951;-0,037685;24,103465
19:01:20,692;386,794027;0,112553;0,120961;0,172925;-0,369821;-2,768949;-0,392072;24,090338
19:01:20,702;387,736988;0,108877;0,122011;0,162819;-0,054794;-2,545825;-0,063936;24,103465
19:01:20,712;385,379584;0,108877;0,127261;0,171087;-0,343569;-3,018322;-0,405198;24,116592
19:01:20,722;387,736988;0,117278;0,128837;0,167413;-0,015416;-2,401452;-0,063936;24,103465
19:01:20,732;383,493661;0,111503;0,128312;0,16925;-0,369821;-2,768949;-0,300194;24,064083
19:01:20,742;387,736988;0,115703;0,121486;0,170169;0,010837;-2,506451;-0,037685;24,07721
19:01:20,752;385,379584;0,110977;0,128312;0,16925;-0,317317;-2,690199;-0,326445;24,090338
19:01:20,762;387,736988;0,111503;0,125161;0,168331;-0,094172;-2,414576;-0,037685;24,07721
19:01:20,772;386,794027;0,112028;0,122011;0,16925;-0,330443;-2,860823;-0,326445;24,142847
19:01:20,782;386,322546;0,112553;0,125686;0,172006;-0,028542;-2,480201;-0,063936;24,155974
19:01:20,792;387,265507;0,107827;0,117811;0,167413;-0,356695;-2,834573;-0,418323;24,090338
19:01:20,802;386,794027;0,109927;0,124111;0,168331;-0,054794;-2,427701;-0,02456;24,090338
19:01:20,812;392,451797;0,106777;0,129362;0,168331;-0,396074;-2,873948;-0,352696;24,011574
19:01:20,822;385,379584;0,110977;0,122011;0,172006;-0,06792;-2,467076;-0,037685;24,024701
19:01:20,832;389,622912;0,110452;0,123586;0,168331;-0,330443;-2,808324;-0,31332;24,037828
19:01:20,842;386,794027;0,106777;0,123061;0,170169;-0,041668;-2,480201;-0,077062;24,116592
19:01:20,852;387,736988;0,107827;0,120436;0,16925;-0,343569;-2,795199;-0,365821;24,103465
19:01:20,862;387,265507;0,109927;0,118861;0,168331;-0,041668;-2,545825;-0,090187;24,116592
19:01:20,872;386,322546;0,109402;0,119911;0,170169;-0,369821;-2,768949;-0,365821;24,050956
19:01:20,882;386,322546;0,113603;0,122011;0,16925;-0,054794;-2,55895;-0,116438;24,07721
19:01:20,892;387,265507;0,110452;0,122011;0,16925;-0,356695;-2,887073;-0,352696;24,12972
